	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV1	yes	anaerobe	unknown	unknown	unknown
ASV2	yes	anaerobe	negative	unknown	no
ASV3	yes	anaerobe	unknown	unknown	unknown
ASV4	yes	mixed	unknown	unknown	unknown
ASV5	yes	mixed	unknown	unknown	unknown
ASV6	yes	anaerobe	negative	unknown	no
ASV7	yes	anaerobe	unknown	unknown	unknown
ASV8	yes	unknown	negative	unknown	no
ASV9	yes	anaerobe	unknown	unknown	unknown
ASV10	yes	mixed	unknown	unknown	unknown
ASV11	yes	unknown	negative	unknown	no
ASV12	yes	unknown	unknown	unknown	unknown
ASV13	unknown	unknown	unknown	unknown	unknown
ASV14	no	unknown	unknown	unknown	unknown
ASV15	unknown	unknown	unknown	unknown	unknown
ASV16	unknown	unknown	unknown	unknown	unknown
ASV17	yes	anaerobe	unknown	unknown	unknown
ASV18	unknown	unknown	unknown	unknown	unknown
ASV19	unknown	unknown	unknown	unknown	unknown
ASV20	yes	mixed	unknown	unknown	unknown
ASV21	yes	anaerobe	unknown	unknown	unknown
ASV22	yes	anaerobe	unknown	unknown	unknown
ASV23	unknown	unknown	unknown	unknown	unknown
ASV24	yes	anaerobe	unknown	unknown	unknown
ASV25	yes	anaerobe	unknown	unknown	unknown
ASV26	unknown	unknown	unknown	unknown	unknown
ASV27	yes	anaerobe	unknown	unknown	unknown
ASV28	unknown	unknown	unknown	unknown	unknown
ASV29	unknown	unknown	unknown	unknown	unknown
ASV30	yes	unknown	negative	unknown	no
ASV31	yes	unknown	positive	unknown	no
ASV32	unknown	unknown	unknown	unknown	unknown
ASV33	unknown	unknown	unknown	unknown	unknown
ASV34	unknown	unknown	unknown	unknown	unknown
ASV35	yes	anaerobe	unknown	unknown	unknown
ASV36	yes	anaerobe	unknown	unknown	unknown
ASV37	unknown	unknown	unknown	unknown	unknown
ASV38	yes	anaerobe	unknown	unknown	unknown
ASV39	unknown	unknown	unknown	unknown	unknown
ASV40	yes	anaerobe	unknown	unknown	unknown
ASV41	yes	anaerobe	unknown	unknown	unknown
ASV42	yes	anaerobe	unknown	unknown	unknown
ASV43	unknown	unknown	unknown	unknown	unknown
ASV44	yes	anaerobe	unknown	unknown	unknown
ASV45	yes	anaerobe	unknown	unknown	unknown
ASV46	unknown	unknown	unknown	unknown	unknown
ASV47	yes	unknown	unknown	unknown	unknown
ASV48	unknown	unknown	unknown	unknown	unknown
ASV49	unknown	unknown	unknown	unknown	unknown
ASV50	yes	anaerobe	unknown	unknown	unknown
ASV51	yes	anaerobe	unknown	unknown	unknown
ASV52	unknown	unknown	unknown	unknown	unknown
ASV53	unknown	unknown	unknown	unknown	unknown
ASV54	unknown	unknown	unknown	unknown	unknown
ASV55	unknown	unknown	unknown	unknown	unknown
ASV56	yes	anaerobe	unknown	unknown	unknown
ASV57	unknown	unknown	unknown	unknown	unknown
ASV58	yes	anaerobe	unknown	unknown	unknown
ASV59	unknown	unknown	unknown	unknown	unknown
ASV60	yes	anaerobe	unknown	unknown	unknown
ASV61	yes	anaerobe	unknown	unknown	unknown
ASV62	yes	anaerobe	unknown	unknown	unknown
ASV63	yes	anaerobe	positive	unknown	no
ASV64	yes	unknown	unknown	unknown	unknown
ASV65	unknown	unknown	unknown	unknown	unknown
ASV66	yes	anaerobe	unknown	unknown	unknown
ASV67	unknown	unknown	unknown	unknown	unknown
ASV68	unknown	unknown	unknown	unknown	unknown
ASV69	yes	unknown	negative	unknown	no
ASV70	unknown	unknown	unknown	unknown	unknown
ASV71	unknown	unknown	unknown	unknown	unknown
ASV72	unknown	unknown	unknown	unknown	unknown
ASV73	yes	mixed	unknown	unknown	unknown
ASV74	unknown	unknown	unknown	unknown	unknown
ASV75	unknown	unknown	unknown	unknown	unknown
ASV76	unknown	unknown	unknown	unknown	unknown
ASV77	unknown	unknown	unknown	unknown	unknown
ASV78	unknown	unknown	unknown	unknown	unknown
ASV79	yes	anaerobe	unknown	unknown	unknown
ASV80	unknown	unknown	unknown	unknown	unknown
ASV81	unknown	unknown	unknown	unknown	unknown
ASV82	yes	unknown	unknown	unknown	unknown
ASV83	unknown	unknown	unknown	unknown	unknown
ASV84	unknown	unknown	unknown	unknown	unknown
ASV85	yes	anaerobe	unknown	unknown	unknown
ASV86	unknown	unknown	unknown	unknown	unknown
ASV87	yes	anaerobe	unknown	unknown	unknown
ASV88	yes	anaerobe	unknown	unknown	unknown
ASV89	unknown	unknown	unknown	unknown	unknown
ASV90	unknown	unknown	unknown	unknown	unknown
ASV91	unknown	unknown	unknown	unknown	unknown
ASV92	yes	unknown	unknown	unknown	unknown
ASV93	yes	anaerobe	unknown	unknown	unknown
ASV94	yes	anaerobe	positive	unknown	no
ASV95	unknown	unknown	unknown	unknown	unknown
ASV96	unknown	unknown	unknown	unknown	unknown
ASV97	unknown	unknown	unknown	unknown	unknown
ASV98	unknown	unknown	unknown	unknown	unknown
ASV99	unknown	unknown	unknown	unknown	unknown
ASV100	unknown	unknown	unknown	unknown	unknown
ASV101	yes	mixed	unknown	unknown	unknown
ASV102	unknown	unknown	unknown	unknown	unknown
ASV103	unknown	unknown	unknown	unknown	unknown
ASV104	unknown	unknown	unknown	unknown	unknown
ASV105	yes	mixed	unknown	unknown	unknown
ASV106	yes	unknown	negative	unknown	no
ASV107	unknown	unknown	unknown	unknown	unknown
ASV108	yes	anaerobe	unknown	unknown	unknown
ASV109	unknown	unknown	unknown	unknown	unknown
ASV110	unknown	unknown	unknown	unknown	unknown
ASV111	unknown	unknown	unknown	unknown	unknown
ASV112	unknown	unknown	unknown	unknown	unknown
ASV113	unknown	unknown	unknown	unknown	unknown
ASV114	yes	anaerobe	unknown	unknown	unknown
ASV115	yes	unknown	unknown	unknown	unknown
ASV116	yes	mixed	unknown	unknown	unknown
ASV117	yes	unknown	unknown	unknown	unknown
ASV118	unknown	unknown	unknown	unknown	unknown
ASV119	unknown	unknown	unknown	unknown	unknown
ASV120	yes	anaerobe	unknown	unknown	unknown
ASV121	yes	anaerobe	unknown	unknown	unknown
ASV122	yes	anaerobe	unknown	unknown	unknown
ASV123	unknown	unknown	unknown	unknown	unknown
ASV124	yes	unknown	negative	unknown	no
ASV125	unknown	unknown	unknown	unknown	unknown
ASV126	unknown	unknown	unknown	unknown	unknown
ASV127	unknown	unknown	unknown	unknown	unknown
ASV128	unknown	unknown	unknown	unknown	unknown
ASV129	yes	anaerobe	unknown	unknown	unknown
ASV130	unknown	unknown	unknown	unknown	unknown
ASV131	unknown	unknown	unknown	unknown	unknown
ASV132	unknown	unknown	unknown	unknown	unknown
ASV133	yes	anaerobe	unknown	unknown	unknown
ASV134	unknown	unknown	unknown	unknown	unknown
