	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV1	unknown	unknown	unknown	unknown	unknown
ASV2	unknown	unknown	unknown	unknown	unknown
ASV3	unknown	unknown	unknown	unknown	unknown
ASV4	yes	anaerobe	unknown	unknown	unknown
ASV5	unknown	unknown	unknown	unknown	unknown
ASV6	yes	anaerobe	unknown	unknown	unknown
ASV7	unknown	unknown	unknown	unknown	unknown
ASV8	unknown	unknown	unknown	unknown	unknown
ASV9	unknown	unknown	unknown	unknown	unknown
ASV10	yes	unknown	unknown	unknown	unknown
ASV11	yes	mixed	unknown	unknown	unknown
ASV12	yes	unknown	negative	unknown	no
ASV13	yes	anaerobe	positive	unknown	no
ASV14	yes	unknown	unknown	unknown	unknown
ASV15	yes	mixed	unknown	unknown	unknown
ASV16	yes	unknown	negative	unknown	no
ASV17	yes	anaerobe	unknown	unknown	unknown
ASV18	unknown	unknown	unknown	unknown	unknown
ASV19	unknown	unknown	unknown	unknown	unknown
ASV20	unknown	unknown	unknown	unknown	unknown
ASV21	unknown	unknown	unknown	unknown	unknown
ASV22	unknown	unknown	unknown	unknown	unknown
ASV23	yes	anaerobe	unknown	unknown	unknown
ASV24	yes	unknown	negative	unknown	no
ASV25	yes	anaerobe	unknown	unknown	unknown
ASV26	no	unknown	unknown	unknown	unknown
ASV27	yes	unknown	negative	unknown	no
ASV28	no	unknown	unknown	unknown	unknown
ASV29	yes	anaerobe	unknown	unknown	unknown
ASV30	unknown	unknown	unknown	unknown	unknown
ASV31	yes	anaerobe	unknown	unknown	unknown
ASV32	yes	unknown	unknown	unknown	unknown
ASV33	unknown	unknown	unknown	unknown	unknown
ASV34	unknown	unknown	unknown	unknown	unknown
ASV35	unknown	unknown	unknown	unknown	unknown
ASV36	yes	anaerobe	unknown	unknown	unknown
ASV37	unknown	unknown	unknown	unknown	unknown
ASV38	yes	anaerobe	unknown	unknown	unknown
ASV39	unknown	unknown	unknown	unknown	unknown
ASV40	unknown	unknown	unknown	unknown	unknown
ASV41	yes	unknown	negative	unknown	no
ASV42	unknown	unknown	unknown	unknown	unknown
ASV43	yes	unknown	unknown	unknown	unknown
ASV44	unknown	unknown	unknown	unknown	unknown
ASV45	yes	anaerobe	unknown	unknown	unknown
ASV46	yes	unknown	unknown	unknown	unknown
ASV47	yes	anaerobe	unknown	unknown	unknown
ASV48	yes	unknown	negative	unknown	no
ASV49	unknown	unknown	unknown	unknown	unknown
ASV50	yes	anaerobe	unknown	unknown	unknown
ASV51	unknown	unknown	unknown	unknown	unknown
ASV52	unknown	unknown	unknown	unknown	unknown
ASV53	unknown	unknown	unknown	unknown	unknown
ASV54	yes	unknown	unknown	unknown	unknown
ASV55	unknown	unknown	unknown	unknown	unknown
ASV56	unknown	unknown	unknown	unknown	unknown
ASV57	yes	unknown	unknown	unknown	unknown
ASV58	yes	unknown	unknown	unknown	unknown
ASV59	yes	anaerobe	unknown	unknown	unknown
ASV60	unknown	unknown	unknown	unknown	unknown
ASV61	unknown	unknown	unknown	unknown	unknown
ASV62	unknown	unknown	unknown	unknown	unknown
ASV63	yes	anaerobe	unknown	unknown	unknown
ASV64	unknown	unknown	unknown	unknown	unknown
ASV65	no	unknown	unknown	unknown	unknown
ASV66	unknown	unknown	unknown	unknown	unknown
ASV67	unknown	unknown	unknown	unknown	unknown
ASV68	unknown	unknown	unknown	unknown	unknown
ASV69	unknown	unknown	unknown	unknown	unknown
ASV70	unknown	unknown	unknown	unknown	unknown
ASV71	unknown	unknown	unknown	unknown	unknown
ASV72	unknown	unknown	unknown	unknown	unknown
ASV73	yes	unknown	negative	unknown	no
ASV74	unknown	unknown	unknown	unknown	unknown
ASV75	unknown	unknown	unknown	unknown	unknown
ASV76	unknown	unknown	unknown	unknown	unknown
ASV77	unknown	unknown	unknown	unknown	unknown
ASV78	yes	anaerobe	unknown	unknown	unknown
ASV79	unknown	unknown	unknown	unknown	unknown
ASV80	unknown	unknown	unknown	unknown	unknown
ASV81	yes	anaerobe	unknown	unknown	unknown
ASV82	unknown	unknown	unknown	unknown	unknown
ASV83	no	unknown	unknown	unknown	unknown
ASV84	yes	anaerobe	unknown	unknown	unknown
ASV85	unknown	unknown	unknown	unknown	unknown
ASV86	yes	mixed	unknown	unknown	unknown
ASV87	unknown	unknown	unknown	unknown	unknown
ASV88	unknown	unknown	unknown	unknown	unknown
ASV89	unknown	unknown	unknown	unknown	unknown
ASV90	unknown	unknown	unknown	unknown	unknown
ASV91	unknown	unknown	unknown	unknown	unknown
ASV92	unknown	unknown	unknown	unknown	unknown
ASV93	unknown	unknown	unknown	unknown	unknown
ASV94	unknown	unknown	unknown	unknown	unknown
ASV95	unknown	unknown	unknown	unknown	unknown
ASV96	unknown	unknown	unknown	unknown	unknown
ASV97	unknown	unknown	unknown	unknown	unknown
ASV98	unknown	unknown	unknown	unknown	unknown
ASV99	yes	unknown	unknown	unknown	unknown
ASV100	unknown	unknown	unknown	unknown	unknown
ASV101	unknown	unknown	unknown	unknown	unknown
ASV102	unknown	unknown	unknown	unknown	unknown
ASV103	unknown	unknown	unknown	unknown	unknown
ASV104	unknown	unknown	unknown	unknown	unknown
ASV105	unknown	unknown	unknown	unknown	unknown
ASV106	unknown	unknown	unknown	unknown	unknown
ASV107	unknown	unknown	unknown	unknown	unknown
ASV108	yes	anaerobe	unknown	unknown	unknown
ASV109	unknown	unknown	unknown	unknown	unknown
ASV110	unknown	unknown	unknown	unknown	unknown
ASV111	unknown	unknown	unknown	unknown	unknown
ASV112	unknown	unknown	unknown	unknown	unknown
ASV113	unknown	unknown	unknown	unknown	unknown
ASV114	unknown	unknown	unknown	unknown	unknown
ASV115	unknown	unknown	unknown	unknown	unknown
ASV116	unknown	unknown	unknown	unknown	unknown
ASV117	unknown	unknown	unknown	unknown	unknown
ASV118	unknown	unknown	unknown	unknown	unknown
ASV119	unknown	unknown	unknown	unknown	unknown
ASV120	unknown	unknown	unknown	unknown	unknown
ASV121	unknown	unknown	unknown	unknown	unknown
ASV122	yes	anaerobe	unknown	unknown	unknown
ASV123	unknown	unknown	unknown	unknown	unknown
ASV124	unknown	unknown	unknown	unknown	unknown
ASV125	yes	unknown	unknown	unknown	unknown
ASV126	unknown	unknown	unknown	unknown	unknown
ASV127	unknown	unknown	unknown	unknown	unknown
ASV128	yes	unknown	unknown	unknown	unknown
ASV129	unknown	unknown	unknown	unknown	unknown
ASV130	yes	anaerobe	negative	unknown	no
ASV131	yes	anaerobe	unknown	unknown	unknown
ASV132	unknown	unknown	unknown	unknown	unknown
ASV133	yes	anaerobe	unknown	unknown	unknown
ASV134	yes	anaerobe	unknown	unknown	unknown
ASV135	unknown	unknown	unknown	unknown	unknown
ASV136	unknown	unknown	unknown	unknown	unknown
ASV137	yes	mixed	unknown	unknown	unknown
ASV138	yes	unknown	unknown	unknown	unknown
ASV139	unknown	unknown	unknown	unknown	unknown
ASV140	unknown	unknown	unknown	unknown	unknown
ASV141	unknown	unknown	unknown	unknown	unknown
ASV142	unknown	unknown	unknown	unknown	unknown
ASV143	yes	unknown	unknown	unknown	unknown
ASV144	unknown	unknown	unknown	unknown	unknown
ASV145	unknown	unknown	unknown	unknown	unknown
ASV146	yes	unknown	positive	unknown	unknown
ASV147	yes	unknown	unknown	unknown	unknown
