	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV1	no	unknown	unknown	unknown	unknown
ASV2	yes	anaerobe	unknown	unknown	unknown
ASV3	unknown	unknown	unknown	unknown	unknown
ASV4	unknown	unknown	unknown	unknown	unknown
ASV5	unknown	unknown	unknown	unknown	unknown
ASV6	unknown	unknown	unknown	unknown	unknown
ASV7	unknown	unknown	unknown	unknown	unknown
ASV8	unknown	unknown	unknown	unknown	unknown
ASV9	yes	anaerobe	unknown	unknown	unknown
ASV10	unknown	unknown	unknown	unknown	unknown
ASV11	unknown	unknown	unknown	unknown	unknown
ASV12	yes	anaerobe	unknown	unknown	unknown
ASV13	unknown	unknown	unknown	unknown	unknown
ASV14	yes	anaerobe	unknown	unknown	unknown
ASV15	unknown	unknown	unknown	unknown	unknown
ASV16	unknown	unknown	unknown	unknown	unknown
ASV17	unknown	unknown	unknown	unknown	unknown
ASV19	unknown	unknown	unknown	unknown	unknown
ASV20	no	unknown	unknown	unknown	unknown
ASV21	unknown	unknown	unknown	unknown	unknown
ASV22	unknown	unknown	unknown	unknown	unknown
ASV23	unknown	unknown	unknown	unknown	unknown
ASV24	unknown	unknown	unknown	unknown	unknown
ASV25	unknown	unknown	unknown	unknown	unknown
ASV26	unknown	unknown	unknown	unknown	unknown
ASV27	unknown	unknown	unknown	unknown	unknown
ASV28	unknown	unknown	unknown	unknown	unknown
ASV29	yes	unknown	unknown	unknown	unknown
ASV30	yes	anaerobe	unknown	unknown	unknown
ASV31	unknown	unknown	unknown	unknown	unknown
ASV32	unknown	unknown	unknown	unknown	unknown
ASV33	unknown	unknown	unknown	unknown	unknown
ASV34	yes	anaerobe	negative	unknown	no
ASV35	unknown	unknown	unknown	unknown	unknown
ASV36	unknown	unknown	unknown	unknown	unknown
ASV37	unknown	unknown	unknown	unknown	unknown
ASV38	unknown	unknown	unknown	unknown	unknown
ASV39	unknown	unknown	unknown	unknown	unknown
ASV40	unknown	unknown	unknown	unknown	unknown
ASV41	unknown	unknown	unknown	unknown	unknown
ASV42	unknown	unknown	unknown	unknown	unknown
ASV43	unknown	unknown	unknown	unknown	unknown
ASV44	unknown	unknown	unknown	unknown	unknown
ASV45	unknown	unknown	unknown	unknown	unknown
ASV46	unknown	unknown	unknown	unknown	unknown
ASV47	unknown	unknown	unknown	unknown	unknown
ASV49	unknown	unknown	unknown	unknown	unknown
ASV50	unknown	unknown	unknown	unknown	unknown
ASV51	yes	anaerobe	negative	unknown	no
ASV52	unknown	unknown	unknown	unknown	unknown
ASV53	unknown	unknown	unknown	unknown	unknown
ASV54	unknown	unknown	unknown	unknown	unknown
ASV55	unknown	unknown	unknown	unknown	unknown
ASV56	yes	anaerobe	negative	unknown	no
ASV57	unknown	unknown	unknown	unknown	unknown
ASV58	unknown	unknown	unknown	unknown	unknown
ASV59	unknown	unknown	unknown	unknown	unknown
ASV61	unknown	unknown	unknown	unknown	unknown
ASV62	unknown	unknown	unknown	unknown	unknown
ASV63	unknown	unknown	unknown	unknown	unknown
ASV64	unknown	unknown	unknown	unknown	unknown
ASV65	unknown	unknown	unknown	unknown	unknown
ASV66	unknown	unknown	unknown	unknown	unknown
ASV67	unknown	unknown	unknown	unknown	unknown
ASV68	unknown	unknown	unknown	unknown	unknown
ASV69	yes	anaerobe	unknown	unknown	unknown
ASV70	yes	anaerobe	unknown	unknown	unknown
ASV71	unknown	unknown	unknown	unknown	unknown
ASV72	unknown	unknown	unknown	unknown	unknown
ASV73	unknown	unknown	unknown	unknown	unknown
ASV74	unknown	unknown	unknown	unknown	unknown
ASV75	no	unknown	unknown	unknown	unknown
ASV76	yes	unknown	unknown	unknown	unknown
ASV77	unknown	unknown	unknown	unknown	unknown
ASV78	unknown	unknown	unknown	unknown	unknown
ASV79	unknown	unknown	unknown	unknown	unknown
ASV80	unknown	unknown	unknown	unknown	unknown
ASV81	unknown	unknown	unknown	unknown	unknown
ASV82	unknown	unknown	unknown	unknown	unknown
ASV83	unknown	unknown	unknown	unknown	unknown
ASV84	unknown	unknown	unknown	unknown	unknown
ASV85	unknown	unknown	unknown	unknown	unknown
ASV86	unknown	unknown	unknown	unknown	unknown
ASV87	unknown	unknown	unknown	unknown	unknown
ASV88	unknown	unknown	unknown	unknown	unknown
ASV90	unknown	unknown	unknown	unknown	unknown
ASV91	unknown	unknown	unknown	unknown	unknown
ASV93	unknown	unknown	unknown	unknown	unknown
ASV94	unknown	unknown	unknown	unknown	unknown
ASV95	unknown	unknown	unknown	unknown	unknown
ASV97	unknown	unknown	unknown	unknown	unknown
ASV98	unknown	unknown	unknown	unknown	unknown
ASV99	unknown	unknown	unknown	unknown	unknown
ASV100	unknown	unknown	unknown	unknown	unknown
ASV102	unknown	unknown	unknown	unknown	unknown
ASV103	unknown	unknown	unknown	unknown	unknown
ASV104	unknown	unknown	unknown	unknown	unknown
ASV106	unknown	unknown	unknown	unknown	unknown
ASV110	unknown	unknown	unknown	unknown	unknown
ASV111	unknown	unknown	unknown	unknown	unknown
ASV112	unknown	unknown	unknown	unknown	unknown
ASV113	unknown	unknown	unknown	unknown	unknown
ASV114	unknown	unknown	unknown	unknown	unknown
ASV115	unknown	unknown	unknown	unknown	unknown
ASV116	unknown	unknown	unknown	unknown	unknown
ASV117	unknown	unknown	unknown	unknown	unknown
ASV119	unknown	unknown	unknown	unknown	unknown
ASV120	unknown	unknown	unknown	unknown	unknown
ASV121	unknown	unknown	unknown	unknown	unknown
ASV122	unknown	unknown	unknown	unknown	unknown
ASV123	unknown	unknown	unknown	unknown	unknown
ASV124	unknown	unknown	unknown	unknown	unknown
ASV127	unknown	unknown	unknown	unknown	unknown
ASV128	unknown	unknown	unknown	unknown	unknown
ASV130	unknown	unknown	unknown	unknown	unknown
ASV131	unknown	unknown	unknown	unknown	unknown
ASV132	unknown	unknown	unknown	unknown	unknown
ASV133	unknown	unknown	unknown	unknown	unknown
ASV134	unknown	unknown	unknown	unknown	unknown
ASV135	unknown	unknown	unknown	unknown	unknown
ASV136	unknown	unknown	unknown	unknown	unknown
ASV137	unknown	unknown	unknown	unknown	unknown
ASV138	unknown	unknown	unknown	unknown	unknown
ASV139	unknown	unknown	unknown	unknown	unknown
ASV140	unknown	unknown	unknown	unknown	unknown
ASV142	yes	anaerobe	unknown	unknown	unknown
ASV143	unknown	unknown	unknown	unknown	unknown
ASV144	unknown	unknown	unknown	unknown	unknown
ASV145	unknown	unknown	unknown	unknown	unknown
ASV146	unknown	unknown	unknown	unknown	unknown
ASV147	unknown	unknown	unknown	unknown	unknown
ASV148	unknown	unknown	unknown	unknown	unknown
ASV149	unknown	unknown	unknown	unknown	unknown
ASV150	unknown	unknown	unknown	unknown	unknown
ASV151	unknown	unknown	unknown	unknown	unknown
ASV152	unknown	unknown	unknown	unknown	unknown
ASV153	unknown	unknown	unknown	unknown	unknown
ASV154	unknown	unknown	unknown	unknown	unknown
ASV155	unknown	unknown	unknown	unknown	unknown
ASV156	unknown	unknown	unknown	unknown	unknown
ASV157	unknown	unknown	unknown	unknown	unknown
ASV158	unknown	unknown	unknown	unknown	unknown
ASV159	unknown	unknown	unknown	unknown	unknown
ASV160	unknown	unknown	unknown	unknown	unknown
ASV161	unknown	unknown	unknown	unknown	unknown
ASV162	unknown	unknown	unknown	unknown	unknown
ASV163	unknown	unknown	unknown	unknown	unknown
ASV165	unknown	unknown	unknown	unknown	unknown
ASV166	unknown	unknown	unknown	unknown	unknown
ASV167	unknown	unknown	unknown	unknown	unknown
ASV168	unknown	unknown	unknown	unknown	unknown
ASV171	unknown	unknown	unknown	unknown	unknown
ASV173	unknown	unknown	unknown	unknown	unknown
ASV174	unknown	unknown	unknown	unknown	unknown
ASV176	unknown	unknown	unknown	unknown	unknown
ASV177	unknown	unknown	unknown	unknown	unknown
ASV178	unknown	unknown	unknown	unknown	unknown
ASV179	unknown	unknown	unknown	unknown	unknown
ASV180	unknown	unknown	unknown	unknown	unknown
ASV181	unknown	unknown	unknown	unknown	unknown
ASV182	unknown	unknown	unknown	unknown	unknown
ASV183	unknown	unknown	unknown	unknown	unknown
ASV185	unknown	unknown	unknown	unknown	unknown
ASV187	unknown	unknown	unknown	unknown	unknown
ASV188	unknown	unknown	unknown	unknown	unknown
ASV189	unknown	unknown	unknown	unknown	unknown
ASV191	unknown	unknown	unknown	unknown	unknown
ASV192	unknown	unknown	unknown	unknown	unknown
ASV195	unknown	unknown	unknown	unknown	unknown
ASV196	unknown	unknown	unknown	unknown	unknown
ASV197	yes	anaerobe	unknown	unknown	unknown
ASV198	unknown	unknown	unknown	unknown	unknown
ASV199	unknown	unknown	unknown	unknown	unknown
ASV200	unknown	unknown	unknown	unknown	unknown
ASV201	unknown	unknown	unknown	unknown	unknown
ASV202	unknown	unknown	unknown	unknown	unknown
ASV204	unknown	unknown	unknown	unknown	unknown
ASV205	unknown	unknown	unknown	unknown	unknown
ASV206	unknown	unknown	unknown	unknown	unknown
ASV207	unknown	unknown	unknown	unknown	unknown
ASV209	unknown	unknown	unknown	unknown	unknown
ASV210	unknown	unknown	unknown	unknown	unknown
ASV211	unknown	unknown	unknown	unknown	unknown
ASV212	unknown	unknown	unknown	unknown	unknown
ASV213	unknown	unknown	unknown	unknown	unknown
ASV214	unknown	unknown	unknown	unknown	unknown
ASV215	unknown	unknown	unknown	unknown	unknown
ASV216	unknown	unknown	unknown	unknown	unknown
ASV217	unknown	unknown	unknown	unknown	unknown
ASV219	yes	anaerobe	unknown	unknown	unknown
ASV220	unknown	unknown	unknown	unknown	unknown
ASV221	yes	anaerobe	unknown	unknown	unknown
ASV223	unknown	unknown	unknown	unknown	unknown
ASV224	unknown	unknown	unknown	unknown	unknown
ASV225	unknown	unknown	unknown	unknown	unknown
ASV228	unknown	unknown	unknown	unknown	unknown
ASV229	unknown	unknown	unknown	unknown	unknown
ASV230	unknown	unknown	unknown	unknown	unknown
ASV232	unknown	unknown	unknown	unknown	unknown
ASV233	yes	anaerobe	unknown	unknown	unknown
ASV234	unknown	unknown	unknown	unknown	unknown
ASV235	unknown	unknown	unknown	unknown	unknown
ASV236	unknown	unknown	unknown	unknown	unknown
ASV237	unknown	unknown	unknown	unknown	unknown
ASV238	unknown	unknown	unknown	unknown	unknown
ASV239	unknown	unknown	unknown	unknown	unknown
ASV240	unknown	unknown	unknown	unknown	unknown
ASV241	unknown	unknown	unknown	unknown	unknown
ASV242	unknown	unknown	unknown	unknown	unknown
ASV243	unknown	unknown	unknown	unknown	unknown
ASV244	unknown	unknown	unknown	unknown	unknown
ASV245	yes	anaerobe	unknown	unknown	unknown
ASV246	unknown	unknown	unknown	unknown	unknown
ASV247	unknown	unknown	unknown	unknown	unknown
ASV248	unknown	unknown	unknown	unknown	unknown
ASV249	unknown	unknown	unknown	unknown	unknown
ASV251	unknown	unknown	unknown	unknown	unknown
ASV253	unknown	unknown	unknown	unknown	unknown
ASV254	unknown	unknown	unknown	unknown	unknown
ASV256	unknown	unknown	unknown	unknown	unknown
ASV257	yes	anaerobe	negative	unknown	no
ASV258	unknown	unknown	unknown	unknown	unknown
ASV259	unknown	unknown	unknown	unknown	unknown
ASV260	unknown	unknown	unknown	unknown	unknown
ASV261	unknown	unknown	unknown	unknown	unknown
ASV264	unknown	unknown	unknown	unknown	unknown
ASV265	unknown	unknown	unknown	unknown	unknown
ASV266	unknown	unknown	unknown	unknown	unknown
ASV267	unknown	unknown	unknown	unknown	unknown
ASV268	unknown	unknown	unknown	unknown	unknown
ASV269	unknown	unknown	unknown	unknown	unknown
ASV270	unknown	unknown	unknown	unknown	unknown
ASV271	unknown	unknown	unknown	unknown	unknown
ASV273	unknown	unknown	unknown	unknown	unknown
ASV275	unknown	unknown	unknown	unknown	unknown
ASV277	unknown	unknown	unknown	unknown	unknown
ASV280	yes	unknown	unknown	unknown	unknown
ASV283	unknown	unknown	unknown	unknown	unknown
ASV284	unknown	unknown	unknown	unknown	unknown
ASV286	no	unknown	unknown	unknown	unknown
ASV287	unknown	unknown	unknown	unknown	unknown
ASV288	unknown	unknown	unknown	unknown	unknown
ASV289	unknown	unknown	unknown	unknown	unknown
ASV290	unknown	unknown	unknown	unknown	unknown
ASV294	unknown	unknown	unknown	unknown	unknown
ASV295	unknown	unknown	unknown	unknown	unknown
ASV296	unknown	unknown	unknown	unknown	unknown
ASV297	unknown	unknown	unknown	unknown	unknown
ASV298	unknown	unknown	unknown	unknown	unknown
ASV299	unknown	unknown	unknown	unknown	unknown
ASV301	unknown	unknown	unknown	unknown	unknown
ASV302	unknown	unknown	unknown	unknown	unknown
ASV303	unknown	unknown	unknown	unknown	unknown
ASV304	unknown	unknown	unknown	unknown	unknown
ASV305	unknown	unknown	unknown	unknown	unknown
