	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV1	unknown	unknown	unknown	unknown	unknown
ASV2	yes	anaerobe	unknown	unknown	unknown
ASV3	unknown	unknown	unknown	unknown	unknown
ASV4	unknown	unknown	unknown	unknown	unknown
ASV5	yes	anaerobe	unknown	unknown	unknown
ASV6	yes	anaerobe	positive	unknown	no
ASV7	yes	unknown	unknown	unknown	unknown
ASV8	yes	unknown	unknown	unknown	unknown
ASV9	yes	anaerobe	unknown	unknown	unknown
ASV10	yes	unknown	unknown	unknown	unknown
ASV11	unknown	unknown	unknown	unknown	unknown
ASV12	no	unknown	unknown	unknown	unknown
ASV13	unknown	unknown	unknown	unknown	unknown
ASV14	unknown	unknown	unknown	unknown	unknown
ASV15	no	unknown	unknown	unknown	unknown
ASV16	yes	unknown	unknown	unknown	unknown
ASV17	unknown	unknown	unknown	unknown	unknown
ASV18	unknown	unknown	unknown	unknown	unknown
ASV19	yes	anaerobe	unknown	unknown	unknown
ASV20	yes	unknown	negative	unknown	no
ASV21	unknown	unknown	unknown	unknown	unknown
ASV22	yes	anaerobe	unknown	unknown	unknown
ASV23	unknown	unknown	unknown	unknown	unknown
ASV24	unknown	unknown	unknown	unknown	unknown
ASV25	yes	mixed	unknown	unknown	unknown
ASV26	no	unknown	unknown	unknown	unknown
ASV27	yes	unknown	unknown	unknown	unknown
ASV28	yes	unknown	negative	unknown	no
ASV29	yes	anaerobe	unknown	unknown	unknown
ASV30	unknown	unknown	unknown	unknown	unknown
ASV31	yes	unknown	unknown	unknown	unknown
ASV32	no	unknown	unknown	unknown	unknown
ASV33	yes	mixed	unknown	unknown	unknown
ASV34	unknown	unknown	unknown	unknown	unknown
ASV35	unknown	unknown	unknown	unknown	unknown
ASV36	unknown	unknown	unknown	unknown	unknown
ASV37	yes	unknown	unknown	unknown	unknown
ASV38	unknown	unknown	unknown	unknown	unknown
ASV39	yes	unknown	unknown	unknown	unknown
ASV40	unknown	unknown	unknown	unknown	unknown
ASV41	unknown	unknown	unknown	unknown	unknown
ASV42	yes	unknown	unknown	unknown	unknown
ASV43	yes	unknown	unknown	unknown	unknown
ASV44	yes	anaerobe	unknown	unknown	unknown
ASV45	yes	anaerobe	unknown	unknown	unknown
ASV46	yes	unknown	negative	unknown	no
ASV47	yes	anaerobe	unknown	unknown	unknown
ASV48	unknown	unknown	unknown	unknown	unknown
ASV49	yes	anaerobe	unknown	unknown	unknown
ASV50	unknown	unknown	unknown	unknown	unknown
ASV51	unknown	unknown	unknown	unknown	unknown
ASV52	yes	anaerobe	unknown	unknown	unknown
ASV53	unknown	unknown	unknown	unknown	unknown
ASV54	yes	unknown	unknown	unknown	unknown
ASV55	unknown	unknown	unknown	unknown	unknown
ASV56	yes	anaerobe	unknown	unknown	unknown
ASV57	unknown	unknown	unknown	unknown	unknown
ASV58	yes	unknown	negative	unknown	no
ASV59	unknown	unknown	unknown	unknown	unknown
ASV60	unknown	unknown	unknown	unknown	unknown
ASV61	unknown	unknown	unknown	unknown	unknown
ASV62	unknown	unknown	unknown	unknown	unknown
ASV63	unknown	unknown	unknown	unknown	unknown
ASV64	unknown	unknown	unknown	unknown	unknown
ASV65	unknown	unknown	unknown	unknown	unknown
ASV66	unknown	unknown	unknown	unknown	unknown
