	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV1	yes	anaerobe	unknown	unknown	unknown
ASV2	unknown	unknown	unknown	unknown	unknown
ASV3	unknown	unknown	unknown	unknown	unknown
ASV4	unknown	unknown	unknown	unknown	unknown
ASV5	unknown	unknown	unknown	unknown	unknown
ASV6	yes	mixed	unknown	unknown	unknown
ASV7	yes	anaerobe	unknown	unknown	unknown
ASV8	no	unknown	unknown	unknown	unknown
ASV9	unknown	unknown	unknown	unknown	unknown
ASV10	yes	mixed	unknown	unknown	unknown
ASV11	unknown	unknown	unknown	unknown	unknown
ASV12	unknown	unknown	unknown	unknown	unknown
ASV13	unknown	unknown	unknown	unknown	unknown
ASV14	unknown	unknown	unknown	unknown	unknown
ASV15	unknown	unknown	unknown	unknown	unknown
ASV16	unknown	unknown	unknown	unknown	unknown
ASV17	yes	unknown	unknown	unknown	unknown
ASV18	yes	unknown	negative	unknown	no
ASV19	unknown	unknown	unknown	unknown	unknown
ASV20	unknown	unknown	unknown	unknown	unknown
ASV21	unknown	unknown	unknown	unknown	unknown
ASV22	yes	anaerobe	unknown	unknown	unknown
ASV23	no	unknown	unknown	unknown	unknown
ASV24	yes	unknown	unknown	unknown	unknown
ASV25	unknown	unknown	unknown	unknown	unknown
ASV26	unknown	unknown	unknown	unknown	unknown
ASV27	unknown	unknown	unknown	unknown	unknown
ASV28	no	unknown	unknown	unknown	unknown
ASV29	unknown	unknown	unknown	unknown	unknown
ASV30	unknown	unknown	unknown	unknown	unknown
ASV31	yes	anaerobe	unknown	unknown	unknown
ASV32	yes	anaerobe	unknown	unknown	unknown
ASV33	yes	unknown	unknown	unknown	unknown
ASV34	yes	anaerobe	unknown	unknown	unknown
ASV35	unknown	unknown	unknown	unknown	unknown
ASV36	yes	unknown	unknown	unknown	unknown
ASV37	unknown	unknown	unknown	unknown	unknown
ASV38	yes	anaerobe	unknown	unknown	unknown
ASV39	unknown	unknown	unknown	unknown	unknown
ASV40	unknown	unknown	unknown	unknown	unknown
