	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV1	yes	unknown	negative	unknown	no
ASV2	yes	anaerobe	unknown	unknown	unknown
ASV3	unknown	unknown	unknown	unknown	unknown
ASV4	unknown	unknown	unknown	unknown	unknown
ASV5	unknown	unknown	unknown	unknown	unknown
ASV6	unknown	unknown	unknown	unknown	unknown
ASV7	unknown	unknown	unknown	unknown	unknown
ASV8	yes	unknown	negative	unknown	no
ASV9	unknown	unknown	unknown	unknown	unknown
ASV10	yes	unknown	negative	unknown	no
ASV11	unknown	unknown	unknown	unknown	unknown
ASV12	yes	anaerobe	unknown	unknown	unknown
ASV13	no	unknown	unknown	unknown	unknown
ASV14	unknown	unknown	unknown	unknown	unknown
ASV15	yes	unknown	negative	unknown	no
ASV16	yes	unknown	unknown	unknown	unknown
ASV17	yes	mixed	unknown	unknown	unknown
ASV18	yes	anaerobe	unknown	unknown	unknown
ASV19	yes	unknown	unknown	unknown	unknown
ASV20	yes	anaerobe	unknown	unknown	unknown
ASV21	yes	anaerobe	unknown	unknown	unknown
ASV22	yes	unknown	unknown	unknown	unknown
ASV23	yes	anaerobe	unknown	unknown	unknown
ASV24	yes	anaerobe	positive	unknown	no
ASV25	yes	anaerobe	unknown	unknown	unknown
ASV26	yes	unknown	negative	unknown	no
ASV27	unknown	unknown	unknown	unknown	unknown
ASV28	unknown	unknown	unknown	unknown	unknown
ASV29	yes	mixed	unknown	unknown	unknown
ASV30	unknown	unknown	unknown	unknown	unknown
ASV31	unknown	unknown	unknown	unknown	unknown
ASV32	yes	anaerobe	unknown	unknown	unknown
ASV33	no	unknown	unknown	unknown	unknown
ASV34	yes	unknown	unknown	unknown	unknown
ASV35	yes	unknown	unknown	unknown	unknown
ASV36	yes	anaerobe	unknown	unknown	unknown
ASV37	unknown	unknown	unknown	unknown	unknown
ASV38	unknown	unknown	unknown	unknown	unknown
ASV39	unknown	unknown	unknown	unknown	unknown
ASV40	unknown	unknown	unknown	unknown	unknown
ASV41	unknown	unknown	unknown	unknown	unknown
ASV42	unknown	unknown	unknown	unknown	unknown
ASV43	yes	anaerobe	unknown	unknown	unknown
ASV44	unknown	unknown	unknown	unknown	unknown
ASV45	unknown	unknown	unknown	unknown	unknown
ASV46	unknown	unknown	unknown	unknown	unknown
ASV47	unknown	unknown	unknown	unknown	unknown
ASV48	yes	unknown	unknown	unknown	unknown
ASV49	unknown	unknown	unknown	unknown	unknown
ASV50	yes	unknown	unknown	unknown	unknown
ASV51	unknown	unknown	unknown	unknown	unknown
ASV52	no	unknown	unknown	unknown	unknown
ASV53	yes	unknown	unknown	unknown	unknown
ASV54	unknown	unknown	unknown	unknown	unknown
ASV55	yes	unknown	unknown	unknown	unknown
ASV56	unknown	unknown	unknown	unknown	unknown
ASV57	yes	anaerobe	unknown	unknown	unknown
ASV58	unknown	unknown	unknown	unknown	unknown
ASV59	unknown	unknown	unknown	unknown	unknown
ASV60	unknown	unknown	unknown	unknown	unknown
ASV61	unknown	unknown	unknown	unknown	unknown
ASV62	yes	unknown	unknown	unknown	unknown
ASV63	yes	anaerobe	unknown	unknown	unknown
ASV64	unknown	unknown	unknown	unknown	unknown
ASV65	unknown	unknown	unknown	unknown	unknown
ASV66	unknown	unknown	unknown	unknown	unknown
ASV67	unknown	unknown	unknown	unknown	unknown
ASV68	unknown	unknown	unknown	unknown	unknown
ASV69	no	unknown	unknown	unknown	unknown
ASV70	unknown	unknown	unknown	unknown	unknown
ASV71	unknown	unknown	unknown	unknown	unknown
ASV72	yes	unknown	unknown	unknown	unknown
ASV73	unknown	unknown	unknown	unknown	unknown
ASV74	no	unknown	unknown	unknown	unknown
ASV75	yes	unknown	unknown	unknown	unknown
ASV76	unknown	unknown	unknown	unknown	unknown
ASV77	unknown	unknown	unknown	unknown	unknown
ASV78	unknown	unknown	unknown	unknown	unknown
ASV79	unknown	unknown	unknown	unknown	unknown
ASV80	unknown	unknown	unknown	unknown	unknown
ASV81	unknown	unknown	unknown	unknown	unknown
ASV82	yes	anaerobe	unknown	unknown	unknown
ASV83	unknown	unknown	unknown	unknown	unknown
ASV84	unknown	unknown	unknown	unknown	unknown
ASV85	yes	anaerobe	unknown	unknown	unknown
ASV86	unknown	unknown	unknown	unknown	unknown
ASV87	unknown	unknown	unknown	unknown	unknown
ASV88	yes	unknown	unknown	unknown	unknown
