	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV1	yes	anaerobe	unknown	unknown	unknown
ASV2	unknown	unknown	unknown	unknown	unknown
ASV3	unknown	unknown	unknown	unknown	unknown
ASV4	unknown	unknown	unknown	unknown	unknown
ASV5	unknown	unknown	unknown	unknown	unknown
ASV6	yes	unknown	negative	unknown	no
ASV7	unknown	unknown	unknown	unknown	unknown
ASV8	yes	anaerobe	unknown	unknown	unknown
ASV9	yes	anaerobe	unknown	unknown	unknown
ASV10	no	unknown	unknown	unknown	unknown
ASV11	unknown	unknown	unknown	unknown	unknown
ASV12	yes	anaerobe	positive	unknown	no
ASV13	yes	unknown	unknown	unknown	unknown
ASV14	yes	anaerobe	unknown	unknown	unknown
ASV15	unknown	unknown	unknown	unknown	unknown
ASV16	yes	unknown	unknown	unknown	unknown
ASV17	unknown	unknown	unknown	unknown	unknown
ASV18	yes	anaerobe	unknown	unknown	unknown
ASV19	yes	anaerobe	unknown	unknown	unknown
ASV20	unknown	unknown	unknown	unknown	unknown
ASV21	unknown	unknown	unknown	unknown	unknown
ASV22	unknown	unknown	unknown	unknown	unknown
ASV23	yes	unknown	negative	unknown	no
ASV24	unknown	unknown	unknown	unknown	unknown
ASV25	unknown	unknown	unknown	unknown	unknown
ASV26	unknown	unknown	unknown	unknown	unknown
ASV27	unknown	unknown	unknown	unknown	unknown
ASV28	yes	anaerobe	unknown	unknown	unknown
ASV29	unknown	unknown	unknown	unknown	unknown
ASV30	yes	anaerobe	unknown	unknown	unknown
ASV31	unknown	unknown	unknown	unknown	unknown
ASV32	unknown	unknown	unknown	unknown	unknown
ASV33	yes	unknown	unknown	unknown	unknown
ASV34	no	unknown	unknown	unknown	unknown
ASV35	yes	unknown	negative	unknown	no
ASV36	unknown	unknown	unknown	unknown	unknown
ASV37	yes	unknown	negative	unknown	no
ASV38	unknown	unknown	unknown	unknown	unknown
ASV39	unknown	unknown	unknown	unknown	unknown
ASV40	yes	anaerobe	unknown	unknown	unknown
