Bacteroides vulgatus
Bacteroides dorei
Bifidobacterium pseudocatenulatum
Bacteroides uniformis
Bacteroides uniformis
Bacteroides dorei
Bacteroides vulgatus
Bacteroides massiliensis
Parabacteroides merdae
Bifidobacterium longum
Megamonas funiformis
Anaerostipes hadrus
Erysipelotrichaceae_UCG-003 bacterium
Bacteroides vulgatus
Bacteroides uniformis
Collinsella aerofaciens
Alistipes putredinis
Fusobacterium mortiferum
Bacteroides stercoris
Sutterella wadsworthensis
Megamonas funiformis
Lactobacillus amylovorus
Bacteroides thetaiotaomicron
Erysipelatoclostridium ramosum
Bacteroides caccae
Bacteroides ovatus
Faecalibacterium prausnitzii
Parabacteroides distasonis
Bacteroides ovatus
Alistipes onderdonkii
Anaerostipes hadrus
Parabacteroides distasonis
Alistipes finegoldii
Parabacteroides distasonis
Collinsella aerofaciens
Phascolarctobacterium faecium
Parabacteroides distasonis
Bifidobacterium pseudocatenulatum
Bifidobacterium adolescentis
Holdemanella biformis
Faecalibacterium prausnitzii
Bacteroides coprocola
Bifidobacterium longum
Parabacteroides distasonis
Anaerostipes hadrus
Collinsella aerofaciens
Phascolarctobacterium faecium
Bacteroides fragilis
Alistipes shahii
Bacteroides thetaiotaomicron
Bifidobacterium adolescentis
Bacteroides cellulosilyticus
Bacteroides cellulosilyticus
Prevotella copri
Blautia obeum
Intestinibacter bartlettii
Bacteroides eggerthii
Bacteroides uniformis
Parasutterella excrementihominis
Lactobacillus mucosae
Bacteroides ovatus
Bacteroides ovatus
Bacteroides coprophilus
Bacteroides stercoris
Faecalibacterium prausnitzii
Parabacteroides merdae
Bacteroides thetaiotaomicron
Bacteroides intestinalis
Acidaminococcus intestini
Bacteroides ovatus
Alistipes finegoldii
Parasutterella excrementihominis
Dialister invisus
Dorea longicatena
Odoribacter splanchnicus
Lactobacillus mucosae
Bacteroides xylanisolvens
Collinsella aerofaciens
Flavonifractor plautii
Faecalibacterium prausnitzii
Bifidobacterium bifidum
Collinsella aerofaciens
Bacteroides thetaiotaomicron
Fusicatenibacter saccharivorans
Faecalibacterium prausnitzii
Bacteroides fragilis
Intestinibacter bartlettii
Bacteroides fragilis
Bilophila wadsworthia
Bifidobacterium longum
Fusicatenibacter saccharivorans
Bilophila wadsworthia
Roseburia intestinalis
Parabacteroides distasonis
Anaerostipes caccae
Bifidobacterium pseudocatenulatum
Faecalibacterium prausnitzii
Bifidobacterium breve
Faecalibacterium prausnitzii
Blautia massiliensis
Barnesiella intestinihominis
Lactococcus lactis
Lactobacillus mucosae
Streptococcus salivarius
Bacteroides salyersiae
Negativibacillus massiliensis
Bacteroides thetaiotaomicron
Dorea formicigenerans
Bacteroides vulgatus
Faecalibacterium prausnitzii
Lactobacillus salivarius
Faecalibacterium prausnitzii
Fusobacterium ulcerans
Bilophila wadsworthia
Fusicatenibacter saccharivorans
Bacteroides fragilis
Ruminococcus bicirculans
Lactobacillus delbrueckii
Bifidobacterium pseudocatenulatum
Dialister succinatiphilus
Bacteroides plebeius
Streptococcus salivarius
Bacteroides caccae
Catenibacterium mitsuokai
Bacteroides ovatus
Bacteroides vulgatus
Streptococcus thermophilus
Collinsella aerofaciens
Bilophila wadsworthia
Megasphaera elsdenii
Bacteroides oleiciplenus
Desulfovibrio piger
Dialister invisus
Blautia provencensis
Bacteroides eggerthii
Roseburia faecis
Parabacteroides distasonis
Dorea longicatena
Alistipes massiliensis
Halomonas stevensii
Bifidobacterium breve
Bacteroides ovatus
Butyricimonas faecihominis
Roseburia hominis
Bacteroides vulgatus
Halomonas stevensii
Bacteroides cellulosilyticus
Akkermansia muciniphila
Alistipes finegoldii
Acidaminococcus fermentans
Dialister invisus
Bacteroides ovatus
Bacteroides fragilis
Desulfovibrio legallii
Lachnospiraceae_NK4A136_group bacterium
Eubacterium limosum
Faecalibacterium prausnitzii
Veillonella parvula
Megasphaera elsdenii
Enterococcus faecium
Paraprevotella clara
Bifidobacterium longum
Eggerthella lenta
Turicibacter sanguinis
Escherichia/Shigella coli
Eggerthella lenta
Parabacteroides distasonis
Bifidobacterium bifidum
Coprococcus comes
Veillonella atypica
Bacteroides thetaiotaomicron
Streptococcus salivarius
Lachnospiraceae_NK4A136_group bacterium
Lactobacillus salivarius
Odoribacter laneus
Megasphaera elsdenii
Bilophila wadsworthia
Alistipes indistinctus
Bifidobacterium bifidum
Mitsuokella multacida
Turicibacter sanguinis
Bacteroides fragilis
Escherichia/Shigella coli
Bacteroides finegoldii
Streptococcus salivarius
Bifidobacterium longum
Alistipes inops
Bifidobacterium dentium
Escherichia/Shigella coli
Parabacteroides johnsonii
Enterococcus faecium
Lachnospiraceae_NK4A136_group bacterium
Pediococcus acidilactici
Bifidobacterium longum
Faecalibacterium prausnitzii
Blautia hydrogenotrophica
Collinsella aerofaciens
Coprobacter secundus
Bacteroides fragilis
Clostridium_sensu_stricto_1 butyricum
Streptococcus salivarius
Streptococcus parasanguinis
Streptococcus sanguinis
Bacteroides fragilis
Acidaminococcus fermentans
Odoribacter splanchnicus
Bacteroides ovatus
Dorea formicigenerans
Sutterella parvirubra
Blautia hansenii
Faecalibacterium prausnitzii
Streptococcus parasanguinis
Intestinimonas butyriciproducens
Acidaminococcus timonensis
Bacteroides fragilis
Faecalibacterium prausnitzii
Blautia hydrogenotrophica
Lactococcus lactis
Megasphaera elsdenii
Bacteroides vulgatus
Anaerostipes hadrus
Lactobacillus gasseri
Collinsella aerofaciens
Bifidobacterium longum
Cetobacterium somerae
Escherichia/Shigella coli
Bacteroides fragilis
Alistipes obesi
Coprobacter fastidiosus
Eubacterium callanderi
Blautia producta
Lachnospiraceae_FCS020_group bacterium
Bacteroides nordii
Bifidobacterium dentium
Anaerotruncus colihominis
Alistipes shahii
Escherichia/Shigella coli
Lachnospira pectinoschiza
Lactobacillus acidophilus
Erysipelotrichaceae_UCG-003 bacterium
Escherichia/Shigella coli
Escherichia/Shigella coli
Faecalicoccus pleomorphus
Bacteroides stercoris
Clostridium_sensu_stricto_1 disporicum
Bacteroides fragilis
Escherichia/Shigella coli
Streptococcus parasanguinis
Megasphaera elsdenii
Bifidobacterium adolescentis
Bifidobacterium breve
Eisenbergiella tayi
Anaerostipes hadrus
Faecalibacterium prausnitzii
Faecalitalea cylindroides
Gemella sanguinis
Fusobacterium varium
Streptococcus parasanguinis
Streptococcus parasanguinis
Gordonibacter pamelaeae
Lactobacillus oris
Bifidobacterium adolescentis
Lactobacillus delbrueckii
Enterococcus faecium
Klebsiella aerogenes
Streptococcus parasanguinis
Streptococcus vestibularis
Coprococcus catus
Eubacterium limosum
Enterococcus faecium
Prevotella corporis
Olsenella provencensis
Streptococcus parasanguinis
Escherichia/Shigella coli
Ruminococcus callidus
Bacteroides thetaiotaomicron
Lactonifactor longoviformis
Megasphaera micronuciformis
Flavonifractor plautii
Bacteroides fragilis
Sutterella wadsworthensis
Lactobacillus fermentum
Streptococcus gordonii
Megasphaera hexanoica
Escherichia/Shigella coli
Bifidobacterium dentium
Lactococcus lactis
Lactobacillus salivarius
Escherichia/Shigella coli
Bifidobacterium bifidum
Dialister propionicifaciens
Lactobacillus delbrueckii
Eubacterium maltosivorans
Lactobacillus delbrueckii
Streptococcus anginosus
Bacteroides fragilis
Providencia vermicola
Clostridium_sensu_stricto_1 butyricum
Bacteroides uniformis
Lactobacillus delbrueckii
Lactococcus lactis
Veillonella tobetsuensis
Streptococcus anginosus
Sutterella seckii
Lactobacillus fermentum
Bacteroides thetaiotaomicron
Bifidobacterium breve
Escherichia/Shigella coli
Lactobacillus fermentum
Lactonifactor longoviformis
Clostridium_sensu_stricto_1 paraputrificum
Weissella confusa
Lactobacillus paracasei
Megasphaera elsdenii
Phocea massiliensis
Varibaculum cambriense
Streptococcus anginosus
Bacteroides vulgatus
Streptococcus mutans
Streptococcus sanguinis
Hungatella hathewayi
Gordonibacter urolithinfaciens
Megasphaera cerevisiae
Streptococcus sanguinis
Clostridium_sensu_stricto_1 perfringens
Streptococcus anginosus
Collinsella aerofaciens
Pyramidobacter piscolens
Lactobacillus ruminis
Acidaminococcus massiliensis
Clostridium_sensu_stricto_1 paraputrificum
Streptococcus gordonii
Streptococcus parasanguinis
Collinsella stercoris
Bifidobacterium breve
Flavonifractor plautii
Lactococcus lactis
Escherichia/Shigella coli
Streptococcus salivarius
