Bacteroides vulgatus
Faecalibacterium prausnitzii
Fusicatenibacter saccharivorans
Blautia massiliensis
Anaerostipes hadrus
Blautia obeum
Blautia faecis
Brachyspira aalborgi
Ruminococcus bromii
Dorea longicatena
Faecalibacterium prausnitzii
Bacteroides massiliensis
Collinsella aerofaciens
Bacteroides uniformis
Erysipelotrichaceae_UCG-003 bacterium
Roseburia intestinalis
Prevotella copri
Parabacteroides merdae
Anaerostipes hadrus
Ruminococcus bicirculans
Bacteroides uniformis
Coprococcus comes
Dialister invisus
Bacteroides eggerthii
Dorea formicigenerans
Roseburia inulinivorans
Lachnospira pectinoschiza
Bacteroides coprocola
Akkermansia muciniphila
Bacteroides caccae
Alistipes putredinis
Phascolarctobacterium succinatutens
Phascolarctobacterium faecium
Megamonas funiformis
Lachnoclostridium edouardi
Coprococcus eutactus
Lachnospiraceae_NK4A136_group bacterium
Acidaminococcus intestini
Parasutterella excrementihominis
Intestinibacter bartlettii
Lachnospira pectinoschiza
Blautia caecimuris
Bacteroides intestinalis
Parabacteroides distasonis
Alistipes shahii
Parabacteroides distasonis
Bacteroides stercoris
Odoribacter splanchnicus
Bacteroides finegoldii
Coprococcus catus
Turicibacter sanguinis
Bacteroides eggerthii
Flavonifractor plautii
Bacteroides vulgatus
Blautia stercoris
Romboutsia sedimentorum
Ruminococcus callidus
Sarcina ventriculi
Megasphaera massiliensis
Fusobacterium periodonticum
Turicibacter sanguinis
Parabacteroides faecis
Butyricicoccus faecihominis
Bacteroides uniformis
Ruminococcus champanellensis
Alistipes finegoldii
Bacteroides intestinalis
Parabacteroides distasonis
Prevotella melaninogenica
Adlercreutzia equolifaciens
Terrisporobacter mayombei
Sutterella wadsworthensis
Bilophila wadsworthia
Bacteroides salyersiae
Granulicatella elegans
Akkermansia muciniphila
Erysipelatoclostridium ramosum
Lachnospiraceae_FCS020_group bacterium
Prevotella pallens
Porphyromonas pasteri
Bacteroides vulgatus
Desulfovibrio piger
Bifidobacterium bifidum
Fusobacterium mortiferum
Parabacteroides goldsteinii
Slackia piriformis
Parasutterella secunda
Roseburia hominis
Faecalibacterium prausnitzii
Alistipes obesi
Eggerthella lenta
Bacteroides nordii
Lawsonella clevelandensis
Bacteroides gallinarum
Monoglobus pectinilyticus
Bacteroides cutis
Clostridium_sensu_stricto_13 subterminale
Peptostreptococcus stomatis
Alloprevotella rava
Catenibacterium mitsuokai
Prevotella nanceiensis
Bifidobacterium animalis
Eisenbergiella massiliensis
Faecalitalea cylindroides
Coprococcus eutactus
Anaerostipes caccae
Sutterella stercoricanis
Clostridium_sensu_stricto_1 disporicum
Helicobacter pylori
Barnesiella intestinihominis
Corynebacterium lipophiloflavum
Bacteroides clarus
Lachnospiraceae_UCG-001 bacterium
Rothia mucilaginosa
Prevotella nigrescens
