Bacteroides vulgatus
Bacteroides uniformis
Alistipes putredinis
Ruminococcus bromii
Bacteroides uniformis
Dialister invisus
Bacteroides massiliensis
Faecalibacterium prausnitzii
Ruminococcus bicirculans
Anaerostipes hadrus
Erysipelotrichaceae_UCG-003 bacterium
Parabacteroides distasonis
Faecalibacterium prausnitzii
Roseburia intestinalis
Parabacteroides merdae
Parasutterella excrementihominis
Lachnospira pectinoschiza
Fusicatenibacter saccharivorans
Blautia massiliensis
Bacteroides uniformis
Acidaminococcus intestini
Bacteroides caccae
Blautia faecis
Bacteroides stercoris
Alistipes shahii
Bacteroides eggerthii
Blautia obeum
Sutterella wadsworthensis
Blautia caecimuris
Coprococcus comes
Dialister succinatiphilus
Roseburia inulinivorans
Coprococcus eutactus
Dorea longicatena
Dorea formicigenerans
Parabacteroides distasonis
Phascolarctobacterium faecium
Bacteroides coprocola
Bilophila wadsworthia
Roseburia hominis
Turicibacter sanguinis
Lachnospiraceae_NK4A136_group bacterium
Akkermansia muciniphila
Faecalibacterium prausnitzii
Odoribacter splanchnicus
Anaerostipes hadrus
Coprococcus eutactus
Intestinibacter bartlettii
Bacteroides eggerthii
Lachnoclostridium edouardi
Parabacteroides distasonis
Holdemanella biformis
Alistipes obesi
Parabacteroides distasonis
Alistipes inops
Barnesiella intestinihominis
Flavonifractor plautii
Butyricicoccus faecihominis
Parabacteroides distasonis
Fusobacterium nucleatum
Bacteroides coprocola
Bacteroides vulgatus
Alistipes massiliensis
Bacteroides finegoldii
Allisonella histaminiformans
Faecalibacterium prausnitzii
Coprococcus catus
Bacteroides clarus
Ruminococcus callidus
Alistipes ihumii
Acidaminococcus fermentans
Terrisporobacter mayombei
Alistipes finegoldii
Tyzzerella nexilis
Bacteroides salyersiae
Anaeroglobus geminatus
Bacteroides intestinalis
Alistipes shahii
Bacteroides salyersiae
Collinsella aerofaciens
Parabacteroides distasonis
Eggerthella lenta
Lachnospira pectinoschiza
Prevotella copri
Butyricimonas virosa
Adlercreutzia equolifaciens
Clostridioides difficile
Phascolarctobacterium succinatutens
Blautia stercoris
Blautia glucerasea
Slackia isoflavoniconvertens
Megamonas funiformis
Bifidobacterium bifidum
Odoribacter laneus
Romboutsia sedimentorum
Akkermansia muciniphila
Lachnospiraceae_UCG-001 bacterium
Butyricimonas virosa
Negativibacillus massiliensis
Erysipelatoclostridium ramosum
Alistipes indistinctus
Parabacteroides goldsteinii
Parasutterella secunda
Streptococcus salivarius
Bacteroides intestinalis
Senegalimassilia anaerobia
Anaerotruncus colihominis
Bacteroides ovatus
Sutterella stercoricanis
Holdemania massiliensis
Bifidobacterium animalis
Ruminococcus champanellensis
Clostridium_sensu_stricto_1 paraputrificum
Monoglobus pectinilyticus
Colidextribacter massiliensis
Intestinimonas butyriciproducens
Frisingicoccus caecimuris
Paraprevotella xylaniphila
Bacteroides thetaiotaomicron
Bacteroides nordii
Holdemania filiformis
Megasphaera hexanoica
Intestinimonas massiliensis
Parabacteroides gordonii
Dielma fastidiosa
Butyricimonas paravirosa
Anaerostipes caccae
Blautia glucerasea
Butyricimonas faecihominis
Phocea massiliensis
Oxalobacter formigenes
Streptococcus mutans
Eisenbergiella massiliensis
Oscillibacter valericigenes
Hungatella hathewayi
Mitsuokella jalaludinii
Lachnoclostridium pacaense
Bacteroides coprophilus
Desulfovibrio piger
Butyricicoccus pullicaecorum
Turicibacter sanguinis
Parabacteroides timonensis
Actinomyces odontolyticus
Lactonifactor longoviformis
Coprobacillus cateniformis
Parabacteroides johnsonii
Lachnospiraceae_FCS020_group bacterium
Harryflintia acetispora
Howardella ureilytica
Desulfovibrio fairfieldensis
Sanguibacteroides justesenii
Porphyromonas asaccharolytica
Faecalitalea cylindroides
Mitsuokella multacida
Barnesiella intestinihominis
Coprobacter fastidiosus
Mitsuokella multacida
Ruminococcus champanellensis
Leuconostoc carnosum
Pseudoflavonifractor capillosus
Rothia mucilaginosa
Eisenbergiella tayi
Merdibacter massiliensis
Blautia hydrogenotrophica
Clostridium_sensu_stricto_1 disporicum
Romboutsia hominis
Corynebacterium durum
Lactobacillus sanfranciscensis
Rothia mucilaginosa
Faecalicoccus pleomorphus
Negativicoccus succinicivorans
