Prevotella copri
Bacteroides vulgatus
Bacteroides plebeius
Bacteroides coprocola
Faecalibacterium prausnitzii
Ruminococcus bromii
Bacteroides massiliensis
Blautia massiliensis
Bacteroides uniformis
Akkermansia muciniphila
Anaerostipes hadrus
Alistipes putredinis
Parabacteroides merdae
Dorea longicatena
Faecalibacterium prausnitzii
Fusicatenibacter saccharivorans
Roseburia inulinivorans
Bacteroides plebeius
Bacteroides uniformis
Bacteroides caccae
Erysipelotrichaceae_UCG-003 bacterium
Dialister invisus
Roseburia intestinalis
Lachnospira pectinoschiza
Blautia obeum
Blautia faecis
Dorea formicigenerans
Ruminococcus bicirculans
Coprococcus comes
Coprococcus eutactus
Parabacteroides distasonis
Parasutterella excrementihominis
Catenibacterium mitsuokai
Lachnospiraceae_NK4A136_group bacterium
Bacteroides eggerthii
Lachnoclostridium edouardi
Anaerostipes hadrus
Intestinibacter bartlettii
Lachnospira pectinoschiza
Acidaminococcus intestini
Bacteroides eggerthii
Bacteroides coprophilus
Phascolarctobacterium faecium
Parabacteroides distasonis
Bacteroides finegoldii
Coprococcus eutactus
Bilophila wadsworthia
Bacteroides uniformis
Phascolarctobacterium succinatutens
Alistipes finegoldii
Bacteroides ovatus
Alistipes shahii
Megasphaera massiliensis
Bacteroides clarus
Odoribacter splanchnicus
Alistipes inops
Ruminococcus callidus
Megamonas funiformis
Blautia stercoris
Faecalibacterium prausnitzii
Sutterella wadsworthensis
Coprococcus catus
Flavonifractor plautii
Alistipes obesi
Fusobacterium mortiferum
Paraprevotella xylaniphila
Roseburia hominis
Holdemanella biformis
Bacteroides vulgatus
Bacteroides togonis
Bacteroides stercoris
Parabacteroides distasonis
Bacteroides vulgatus
Faecalibacterium prausnitzii
Lachnospiraceae_UCG-001 bacterium
Turicibacter sanguinis
Dialister succinatiphilus
Dialister succinatiphilus
Butyricicoccus faecihominis
Parabacteroides johnsonii
Parasutterella secunda
Parabacteroides distasonis
Terrisporobacter mayombei
Blautia caecimuris
Akkermansia muciniphila
Barnesiella intestinihominis
Alistipes ihumii
Bacteroides salyersiae
Tyzzerella nexilis
Erysipelatoclostridium ramosum
Alistipes massiliensis
Coprobacter fastidiosus
Bacteroides intestinalis
Bacteroides salanitronis
Bacteroides coprocola
Butyricimonas paravirosa
Sutterella stercoricanis
Alistipes shahii
Parabacteroides distasonis
Parabacteroides goldsteinii
Ruminococcus champanellensis
Eisenbergiella tayi
Negativibacillus massiliensis
Fusobacterium ulcerans
Alistipes indistinctus
Bacteroides salyersiae
Howardella ureilytica
Bifidobacterium animalis
Lactobacillus ruminis
Blautia hydrogenotrophica
Bacteroides gallinaceum
Hungatella hathewayi
Bifidobacterium bifidum
Butyricimonas faecihominis
Bacteroides nordii
Acidaminococcus fermentans
Fusobacterium varium
Desulfovibrio piger
Sutterella wadsworthensis
Allisonella histaminiformans
Sutterella seckii
Eisenbergiella massiliensis
Bacteroides cutis
Sarcina ventriculi
Butyricimonas virosa
Mitsuokella jalaludinii
Blautia glucerasea
Ruminococcus champanellensis
Blautia glucerasea
Romboutsia sedimentorum
Oxalobacter formigenes
Bilophila wadsworthia
Coprobacter secundus
Clostridium_sensu_stricto_1 paraputrificum
Barnesiella intestinihominis
Butyricimonas virosa
Lactobacillus amylovorus
Coprobacillus cateniformis
Turicibacter sanguinis
Odoribacter laneus
Bacteroides fluxus
Faecalicoccus pleomorphus
Lactobacillus ruminis
Parabacteroides distasonis
Lachnospiraceae_FCS020_group bacterium
Prevotella stercorea
Mitsuokella multacida
Bacteroides ndongoniae
Faecalibacterium prausnitzii
Faecalitalea cylindroides
Parabacteroides distasonis
Colidextribacter massiliensis
Fusobacterium nucleatum
Megasphaera hexanoica
Cloacibacillus evryensis
Clostridium_sensu_stricto_1 disporicum
Mailhella massiliensis
Holdemania filiformis
Bacteroides intestinalis
Parabacteroides distasonis
Bacteroides acidifaciens
Prevotella corporis
Pseudoflavonifractor capillosus
Parabacteroides distasonis
Monoglobus pectinilyticus
Megasphaera stantonii
Sutterella parvirubra
Subdoligranulum variabile
Anaerotruncus colihominis
Collinsella aerofaciens
Butyricimonas faecihominis
Clostridium_sensu_stricto_1 butyricum
Desulfovibrio fairfieldensis
Anaerostipes caccae
Bacteroides uniformis
Victivallis vadensis
Parabacteroides gordonii
Senegalimassilia anaerobia
Actinomyces odontolyticus
Intestinimonas butyriciproducens
Lachnoclostridium urinimassiliense
Blautia luti
Clostridium_sensu_stricto_1 tertium
Streptococcus mutans
Dielma fastidiosa
Holdemania massiliensis
Bacteroides rodentium
Prevotella denticola
Sutterella wadsworthensis
Lactonifactor longoviformis
Olsenella umbonata
Cloacibacillus porcorum
Butyricicoccus pullicaecorum
Catenibacterium mitsuokai
Adlercreutzia equolifaciens
Lactobacillus delbrueckii
Bilophila wadsworthia
Christensenella massiliensis
Frisingicoccus caecimuris
Parabacteroides faecis
Bacteroides bouchesdurhonensis
Lachnoclostridium pacaense
