Bacteroides vulgatus
Anaerostipes hadrus
Bacteroides dorei
Erysipelotrichaceae_UCG-003 bacterium
Bacteroides uniformis
Anaerostipes hadrus
Collinsella aerofaciens
Anaerostipes hadrus
Bacteroides vulgatus
Erysipelotrichaceae_UCG-003 bacterium
Bacteroides uniformis
Bacteroides dorei
Anaerostipes hadrus
Turicibacter sanguinis
Ruminococcus bicirculans
Bacteroides stercoris
Collinsella aerofaciens
Faecalibacterium prausnitzii
Bacteroides massiliensis
Lactococcus lactis
Lactobacillus johnsonii
Bacteroides vulgatus
Faecalibacterium prausnitzii
Blautia obeum
Collinsella aerofaciens
Collinsella aerofaciens
Prevotella copri
Bacteroides uniformis
Collinsella aerofaciens
Fusicatenibacter saccharivorans
Faecalibacterium prausnitzii
Intestinibacter bartlettii
Phascolarctobacterium faecium
Collinsella aerofaciens
Holdemanella biformis
Blautia massiliensis
Fusicatenibacter saccharivorans
Bacteroides intestinalis
Erysipelatoclostridium ramosum
Collinsella aerofaciens
Intestinibacter bartlettii
Bacteroides ovatus
Dialister invisus
Phascolarctobacterium faecium
Catenibacterium mitsuokai
Collinsella aerofaciens
Bacteroides stercoris
Lactococcus lactis
Faecalibacterium prausnitzii
Parasutterella excrementihominis
Alistipes finegoldii
Bacteroides thetaiotaomicron
Adlercreutzia equolifaciens
Faecalibacterium prausnitzii
Parabacteroides merdae
Sutterella wadsworthensis
Parabacteroides distasonis
Turicibacter sanguinis
Bacteroides vulgatus
Alistipes shahii
Streptococcus salivarius
Faecalibacterium prausnitzii
Bacteroides thetaiotaomicron
Bacteroides fragilis
Acidaminococcus intestini
Faecalitalea cylindroides
Anaerostipes hadrus
Dialister invisus
Alistipes onderdonkii
Bacteroides ovatus
Adlercreutzia equolifaciens
Faecalibacterium prausnitzii
Flavonifractor plautii
Alistipes putredinis
Fusicatenibacter saccharivorans
Enterococcus gilvus
Bacteroides ovatus
Streptococcus salivarius
Monoglobus pectinilyticus
Faecalibacterium prausnitzii
Bacteroides cellulosilyticus
Bacteroides fragilis
Lachnospiraceae_NK4A136_group bacterium
Parabacteroides distasonis
Alistipes putredinis
Megamonas funiformis
Alistipes finegoldii
Bacteroides ovatus
Parabacteroides distasonis
Parabacteroides distasonis
Dialister succinatiphilus
Anaerostipes caccae
Bacteroides salyersiae
Bacteroides xylanisolvens
Blautia hydrogenotrophica
Alistipes finegoldii
Roseburia intestinalis
Escherichia/Shigella coli
Faecalibacterium prausnitzii
Streptococcus parasanguinis
Parabacteroides merdae
Bacteroides dorei
Parabacteroides merdae
Alistipes finegoldii
Streptococcus mitis
Eggerthella lenta
Eggerthella lenta
Streptococcus parasanguinis
Faecalibacterium prausnitzii
Collinsella aerofaciens
Lactococcus lactis
Clostridioides difficile
Bacteroides salyersiae
Bacteroides uniformis
Faecalibacterium prausnitzii
Bacteroides fragilis
Streptococcus salivarius
Escherichia/Shigella coli
Alistipes shahii
Bacteroides dorei
Parabacteroides distasonis
Faecalibacterium prausnitzii
Streptococcus salivarius
Alistipes shahii
Bacteroides fragilis
Bacteroides clarus
Blautia hansenii
Faecalibacterium prausnitzii
Bacteroides ovatus
Parabacteroides distasonis
Akkermansia muciniphila
Escherichia/Shigella coli
Adlercreutzia equolifaciens
Bacteroides uniformis
Bacteroides thetaiotaomicron
Parasutterella excrementihominis
Bacteroides cellulosilyticus
Acidaminococcus intestini
Veillonella parvula
Escherichia/Shigella coli
Streptococcus parasanguinis
Odoribacter splanchnicus
Ruminococcus champanellensis
Negativibacillus massiliensis
Lactobacillus fermentum
Desulfovibrio fairfieldensis
Desulfovibrio piger
Bacteroides cellulosilyticus
Bacteroides coprophilus
Escherichia/Shigella coli
Bacteroides fragilis
Haemophilus parainfluenzae
Alistipes finegoldii
Collinsella aerofaciens
Escherichia/Shigella coli
Alistipes inops
Bacteroides uniformis
Bacteroides caccae
Faecalibacterium prausnitzii
Escherichia/Shigella coli
Eubacterium limosum
Faecalibacterium prausnitzii
Ruminococcus callidus
Escherichia/Shigella coli
Collinsella stercoris
Bacteroides cellulosilyticus
Bacteroides ovatus
Bacteroides fragilis
Lachnospiraceae_UCG-001 bacterium
Lachnospiraceae_NK4A136_group bacterium
Alistipes onderdonkii
Desulfovibrio piger
Lactococcus lactis
Streptococcus infantis
Streptococcus parasanguinis
Bacteroides nordii
Bifidobacterium adolescentis
Intestinimonas butyriciproducens
Flavonifractor plautii
Streptococcus parasanguinis
Collinsella phocaeensis
Terrisporobacter mayombei
Odoribacter splanchnicus
Pyramidobacter piscolens
Bifidobacterium pseudocatenulatum
Actinomyces graevenitzii
Streptococcus mutans
Alistipes inops
Intestinimonas massiliensis
Morganella morganii
Desulfovibrio legallii
Bacteroides uniformis
Alistipes obesi
Gordonibacter pamelaeae
Alistipes indistinctus
Campylobacter gracilis
Streptococcus parasanguinis
Streptococcus parasanguinis
Dielma fastidiosa
Escherichia/Shigella coli
Anaerotruncus colihominis
Oxalobacter formigenes
Christensenella minuta
Streptococcus anginosus
Butyricimonas faecihominis
Bifidobacterium bifidum
Bifidobacterium longum
Dialister invisus
Parabacteroides distasonis
